sorszam,kod,rovid_nev,nev,iranyitoszam,varos,utca,telefon1,telefon2,telefon3,email,web,kulfoldi,ugyintezo,vevo_fokonyv,szallito_fokonyv,adoszam,vevo_tartozik,vevo_kovetel,szallito_tartozik,szallito_kovetel,maganjellegu,nev2,nev3,telefon4,vezeto,ugyintezo2,levelcim,level_irszam,level_varos,level_utca,level_szoveg,level_megjegyzes1,level_megjegyzes2,telefon1_tipus_sorszam,telefon2_tipus_sorszam,telefon3_tipus_sorszam,telefon4_tipus_sorszam,orszag,forma,telefon1_tipus,telefon2_tipus,telefon3_tipus,telefon4_tipus,telefon1_tipus_nev,telefon2_tipus_nev,telefon3_tipus_nev,telefon4_tipus_nev,vevo_fok,vevo_fok_nev,vevo_szamlatipus,szallito_fok,szallito_fok_nev,szall_szamlatipus,kulso_kod,jelleg_kod,jelleg_nev,jelleg,tipus_kod,tipus_nev,tipus,gln,vpid
14858,100090,Kovács Tibor,Kovács Tibor,5000,Szolnok,Mosonyi Mihály út 6.,06-30/9434307,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5183,100091,Alginit Kft,Alginit Kft,1113,Budapest,Harcos u. 9,1/397-66-69,30/9-134-494,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,5,,,,,01,05,,,Hivatali telefon,Rádiótelefon,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5184,100092,Alginit Kitermelo Kf,Alginit Kitermelo Kft.,9672,Gérce,,30/9-134-494,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5185,100093,Almási Ferenc,Almási Ferenc,6112,Pálmonostora,Aranyhegyi dûlõ 120.,20/2092804,,,,,0,,,,44185464223,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5186,100094,Almási Ferencné,Almási Ferencné,6112,Pálmonostora,Aranyhegyi dülõ 120.,20/2092804,,,,,0,,,,75814647123,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13231,100095,Hercegszántói Mezõga,Hercegszántói Mezõgazdasági ZRt.,6525,Hercegszántó,Alkotmány tér 20.,79/354-143,79/454-122,,,,0,,,,24995539203,,,,,0,,,,Császár György 30/9-580-751,,0,,,,,Papp tanya,,1,1,,,,,01,01,,,Hivatali telefon,Hivatali telefon,,,,,,,,,,,,,,,,,
5188,100096,Almási Károly,Almási Károly,6033,Városföld,Pet?fi u.53.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5189,100097,Almási Zoltán,Almási Zoltán,6050,Lajosmizse,Bene 5/a,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14889,100098,Körtvélyesi Margit,Körtvélyesi Margit,6041,Kerekegyháza,Andrássy u. 99.,06-30/2829161,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,,,,,,,,
5191,100099,Kocsis Károly,Kocsis Károly,6772,Deszk,Hunyadi u.19.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
12182,100100,Öcsödi Mezõgazda,Öcsödi Mezõgazda Kft.,5451,Öcsöd,II. körzet ,56/703-614,30/979-30-53,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,5,,,,,01,05,,,Hivatali telefon,Rádiótelefon,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5193,100101,Ambrus Lajosné,Ambrus Lajosné,6646,Tömörkény,Kiss E. u.112,,,,,,0,,1091,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,311,Belföldi követelések,3,,,,,NRM,Normál,1,T,Termelõ,57,,
5194,100102,Amex ExpoRt-ImpoRt,Amex ExpoRt-ImpoRt,6000,Kecskemét,Bethlen krt. 18,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5195,100103,Amex-center Kft.,Amex-center Kft.,2030,Érd,Asztalos S. u.3. 23/376,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5196,100104,Amler János,Amler János,6086,Szalkszentmárton,Vecsei út 1.,30/2585-159,,,,,0,,,,71279666223,,,,,0,,,,,,1,6086,Szalkszentmárton,Felszabadulás u. 89.,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5197,100105,Amon 3 Kft.,Amon 3 Kft.,4025,Debrecen,Piac u.43,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5198,100106,Amtrade Magyar-Svájc,Amtrade Magyar-Svájci Ker.Kft,1145,Budapest,Erzsébet Királyné útja 29/,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5199,100107,Andocs Andor,Andocs Andor,2750,Nagykõrös,Eötvös u.40,53/350-873,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5200,100108,Andocs József,Andocs József,2750,Nagykõrös,Szolnoki út 59.,53/350-873,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5201,100109,Andrik Jánosné,Andrik Jánosné,6646,Tömörkény,Fehért 40.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5202,100110,Angeli Menyhért,Angeli Menyhért,6239,Császartöltés,Sport Tér 4,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5203,100111,Angyal József,Angyal József,2949,Ács,KLAPKA u.23.,30/396-29-84,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5204,100112,Angyal József,Angyal József,2948,Kisigmánd,Rákóczi u.17.,30/396-29-84,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14901,100113,Totál Kft.,Totál Kft.,6000,Kecskemét,Dráva utca 17.,06-30/445-46-68,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5206,100114,Anka János,Anka János,6060,Tiszakécske,Oláhház dûlõ 62.,06-30/431-26-99,,,,,0,,1091,,73631116223,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,311,Belföldi követelések,3,,,,,INTV,Integrációs vállalkozó,5,T,Termelõ,57,,
5207,100115,Anker Trade Kft,Anker Trade Kft,2424,Elõszállás,Petõfi u. 38.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5208,100116,ANNA Bt,ANNA Bt,6065,Lakitelek,ESZETu2,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13580,100117,Földvári Csilla,Földvári Csilla,5510,Dévaványa,Jéggyár u. 5.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5210,100118,Antal János,Antal János,6000,Kecskemét,Alsószéktó 177.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5211,100119,Antal János,Antal János,6100,Kiskunfélegyháza,XI. Ker. 26.,,,,,,0,,,,79586131123,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5212,100120,Antal Mihály,Antal Mihály,6090,Kunszentmiklós,Kossuth L. t 46/a,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5213,100121,Antavira Kft.,Antavira Kft.,6000,Kecskemét,Matkói ut 50.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5214,100122,APEH Bács-Kiskun M.I,APEH Bács-Kiskun M.Igazgatósg,6000,Kecskemét,Kurucz krt.16/C,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14890,100123,DKI Bánya K. kft,DKI Bánya Kavicskitermelõ Kft.,3459,Igrici,Hrsz: 089,06-30/5248210,,,,,0,,,,13675079205,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,,,,,,,,
16063,100124,VA Intertrading AG,VA Intertrading Aktiengesellschaft,A-4020,Linz,Strasserau 6.,06-82/577-500,06-82/577-503,,,,0,,,,26955247251,,,,,0,,,,Balassa Éva,,1,7400,Kaposvár,Petõfi tér 1.,,,,1,2,,,2,,01,02,,,Hivatali telefon,Hivatali fax,,,,,,,,,,,,,,,,,
13142,100126,Kamarás-Duna Kft.,Kamarás-Duna Kft.,6512,Szeremle,Külterület 162/1.,79/376-058,,,,,0,,,,           ,,,,,0,,,,Illés Lászlóné,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,,,,,,,,
5219,100127,Aradi Imre,Aradi Imre,7030,Paks,Dózsa Gy.u.41,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5220,100128,Aranykajszi Kft,Aranykajszi Kft,6100,Kiskunfélegyháza,VIII.ker 99/A,,,,,,0,,,,12460119203,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5221,100129,Nagy Frigyes,Nagy Frigyes,5430,Tiszaföldvár,Árvai János út 32.,30/2999-109,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5222,100130,Aranykalász Szövetke,Aranykalász Szövetkezet,7030,Paks-Gyapa,Hunyadi u.5.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5223,100131,Aranykorona Kft.,Aranykorona Kft.,6088,Apostag,Duna u. 12.,20/3656001 pacsko,30/6-382-339,06305068761 fõnõk,,,0,Szurma Imréné 78/428-325,,,10319787203,,,,,0,,,30/5038151,Dr. Szollosi Károly,,0,,,,,,,1,5,,,,,01,05,,,Hivatali telefon,Rádiótelefon,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5224,100132,Aranymag Kft.,Aranymag Kft.,6000,Kecskemét,Bánffy u. 26.,,,,,,0,,,,1102091203 ,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5225,100133,Aranyosmarthy Imre,Aranyosmarthy Imre,1162,Budapest,XVI Ker.u.10,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5226,100134,Árgyelán István,Árgyelán István,6090,Kunszentmiklós,Rigó.2.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5227,100135,Árgyelán János,Árgyelán János,6090,Kunszentmiklós,Csap út 4.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5228,100136,Armalista Kft,Armalista Kft,6237,Kecel,Vasút u.70.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5229,100137,Arna Holding,Arna Holding,6100,Kiskunfélegyháza,Klapkau.2.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5230,100138,Arnóth Imre Kertészb,Arnóth Imre Kertészbolt,6041,Kerekegyháza,Kölcsey u. 222. ,76/371-211,30/374-8657,,,,0,,,,43851201223,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5231,100139,Beretvás Éva  Kertés,Beretvás Éva Kertészbolt,6097,Kunadacs,Kunszentmiklósi út 4-1.,30/2-329-593,,,adacsikerteszbolt@gmail.com,,0,,1091,,62284662223,,,,,0,,,,,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,311,Belföldi követelések,3,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5232,100140,Róna Vadásztársaság,Róna Vadásztársaság,6100,Kiskunfélegyháza,Szentesi u.25.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5235,100143,Árva Józsefné,Árva Józsefné,6921,Maroslele,Rákóczi u. 48.,csak kp-re,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5236,100144,Ásotthalmi Határment,Ásotthalmi Határmenti Ker. Bt.,6783,Ásotthalom,Királyhalmi út 44.,62/291-462,,,,,0,,,,21753002206,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5237,100145,Atil Ker. és Szolg.,Atil Kereskedelmi és Szolgáltató Kft.,2400,Dunaújváros,Magyar út 42.,25/500-385,30/256-2327,,,,0,,,,11112394207,,,,,0,,,,,,0,,,,,,,1,5,,,,,01,05,,,Hivatali telefon,Rádiótelefon,,,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5238,100146,Atlantisz Kft Tüzép ,Atlantisz Kft ,6000,Kecskemét,Pipacs u. 3.,76/494-639,,,,,0,,,,,,,,,0,,,,Kalocsai Jenõ,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,,,,,,,,
5239,100147,Atlasz-Pálusz Transz,Atlasz-Pálusz Transz Kft,5630,Békés,Táncsics u. 91.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5240,100148,Atra Kecskemét Kft.,Atra  Kecskemét Kft.,6000,Kecskemét,Ladánybenei út 1,0676482198,0676328518,,,,0,,,,10513912203,,,,,0,,,,,,0,,,,,,,1,2,,,,,01,02,,,Hivatali telefon,Hivatali fax,,,,,,,,,,,,,,,,,
5241,100149,Átrak Sándor,Átrak Sándor,6077,Orgovány,Nap út 25.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5242,100150,Attraktiv Kft,Attraktiv Kft,6000,Kecskemét,Dunaföldvári út1.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5243,100151,Aura-Nap Kft,Aura-Nap Mezõgazdasági Kft.,2700,Cegléd,Jászberényi út 408,0612757826 agro-larg,06/53-500-235,1/483-00-18,aura1@axelero.hu,,0,Kocsmán József 20/9-126-824,,,11865676241,,,,,0,,,elõre utalással,Patakfalvi Péter 30/951-1839,Zahorszki Gábor 20/314-42-99,0,,,,,,,1,2,2,,,,01,02,02,,Hivatali telefon,Hivatali fax,Hivatali fax,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5244,100152,Auroma Kft,Auroma Kft,1399,Budapest,Kossuth trPf. 645.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5245,100153,Autalkatrész áruház,Autalkatrész áruház,5200,Törökszentmiklós,Kossuth258.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5246,100154,Autóflex Ker. Kft,Autóflex Ker. Kft,6000,Kecskemét,Kullai köz 9.,,,,,,0,,,,10502314203,,,,,0,Nagykereskedelmi Raktár,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,,,,,
5247,100155,László Gumiszervíz ,László Gumiszervíz Kft.,6100,Kiskunfélegyháza,Dr.Holló Lajos u. 96.,76/431-381,,,,,0,,,,23035577203,,,,,0,,,,,,0,,,,,,,1,,,,1,,01,,,,Hivatali telefon,,,,,,,,,,,,,,,,,,
5248,100156,Pap László,Pap László,5440,Kunszentmárton,Széchenyi ltp.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5249,100157,Autó Univerzál Kft,Autó Univerzál Kft,6000,Kecskemét,Csáktornyai u.4-6,76/506-783,485-292 iroda,,,,0,,,,10664795203,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,,,,,,,,
5250,100158,Autocenter Autalk.Ke,Autocenter Autalk.Ker.,6000,Kecskemét,Halasi út,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5251,100159,Auto-Garant Ker. Kft,Auto-Garant Ker. Kft,6100,Kiskunfélegyháza,Szegedi ut62,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5252,100160,Autóker Gamma Ker. K,Autóker Gamma Ker. Kft,6000,Kecskemét,Szegedi u.18/a,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5253,100161,Auto-Protect Kft,Auto-Protect Kft,6000,Kecskemét,Máriahegy 409,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5254,100162,Autósbolt Kovács Imr,Autósbolt Kovács Imre,6000,Kecskemét,Mezeiu.25.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5255,100163,Autóstop Bt,Autóstop Bt,6000,Kecskemét,Alsószéktó 112.,,,,,,0,,,,20437028203,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,,,,,
5256,100164,Autszolg Kft,Autszolg Kft,6237,Kecel,Vágóhíd u. 36908,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5257,100165,Autóüveg Kft,Autóüveg Kft,6000,Kecskemét,Ceglédi út 38.,,,,,,0,,,,11024147203,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,,,,,
5258,100166,Avanti Rt,Avanti Rt,1014,Budapest,Babits M.kz 4,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5259,100167,Aviform Kft,Aviform Kft,6041,Kerekegyháza,Katona J. u. 17.,06-30/349-84-89,,,,,0,,,,11030881203,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5260,100168,AXA Colonia Biztost ,AXA Colonia Biztost Rt,1134,Budapest,Róbert Károly krt. 76-78.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12206,100169,Ecser-Donát,Ecser-Donát Szövetkezet,6613,Szentes,Cserebökény belsõecser,63/318-127,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5262,100170,Szunyi Istvánné,Szunyi Istvánné,6647,Csanytelek,Oláh állás 8,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5263,100171,B.Szabó András,B.Szabó András,6114,Bugac,Kecskeméti u. 22,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5264,100172,Tóth János,Tóth János,5465,Cserkeszõlõ,Szabadság u.2.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5265,100173,Baba Zoltánné,Baba Zoltánné,6723,Szeged,Magyar u.102,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5266,100174,Babanyec Csaba,Babanyec Csaba,6120,Kiskunmajsa,Tamasi u.9,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5267,100175,Bábel István,Bábel István,6098,Tass,Szeretett15.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5268,100176,Bábel Nyelvstudió és,Bábel Nyelvstudió és Könyvesbolt,6000,Kecskemét,Vg u.1.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7874,100177,Szentpéteri Attiláné,Szentpéteri Attiláné,6200,Kiskõrös,Soós u.33.,06704535250,,,,,0,,,,75749006223,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5270,100178,Babenyecz Gyuláné,Babenyecz Gyuláné,6120,Kiskunmajsa,Bajcsy Zs. u. 32.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5271,100179,Bacsa József Teherfu,Bacsa József Teherfuvarozó,6000,Kecskemét,Szülõföld u.8,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12208,100180,Kórógymenti ,Kórógymenti SzakszövetkezetMEGSZÛNT!!!,6600,Szentes,Derekegyházi oldal,63/312-247,,,,,0,,,,11083401206,,,,,0,,,,,,0,,,,,,,1,,,,,,01,,,,Hivatali telefon,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5273,100181,Bacsa Mihály id,Bacsa Mihály id.,6112,Pálmonostora,Bánhidi Dûlõ 90.,06-30/291-44-85,20/209-2804,,,,0,,,,75876595123,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5274,100182,Bacsa Mihálynéé,Bacsa Mihálynéé,6112,Pálmonostora,Bánhidi D.90.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5275,100183,Agráripari Rt.,Bácsalmási Agráripari ZRt.,6430,Bácsalmás,Backnang u.2.,79/342-144,79/342-240,elõre ut,,,0,,,,11033444203,,,,,0,,,,Bali Gábor Vez.ig. 30/6-781-856,,0,,,,,,,1,2,,,8,,01,02,,,Hivatali telefon,Hivatali fax,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5276,100184,Bács-Copy Kft,Bács-Copy Kft,6000,Kecskemét,Csongrádi u.3.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5277,100185,Montvai László,Montvai lászló,5100,Jászberény,Szt.Imre u.65.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5278,100186,Bács-Gazda Coop Kft,Bács-Gazda Coop Kft.,6400,Kiskunhalas,Harangos tér 9.,77/420-186,30/743-5080,csak kp-re,,,0,,,,,,,,,0,,,,,,0,,,,,,,1,5,,,,,01,05,,,Hivatali telefon,Rádiótelefon,,,,,,,,,,,,,,,,,
5279,100187,BÁCSHIR Bt,BÁCSHIR BT,6000,Kecskemét,Kurucz krt.16/C.,,,,,,0,,,,20437004203,,,,,0,Nyomtatványbolt,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,,,,,
5280,100188,Bácsi István,Bácsi István ,6100,Kiskunfélegyháza,Táncsics Mihály utca 8.,30/943-4714,76/463-178,,bacsagro@freemail.hu,,0,,1091,,43846410223,,,,,0,,,,Bácsi István ,,0,,,,,,,5,,,,,,05,,,,Rádiótelefon,,,,311,Belföldi követelések,3,,,,,INTV,Integrációs vállalkozó,5,T,Termelõ,57,,
5281,100189,Bácsi Mihály,Bácsi Mihály,6098,Tass,Bajcsi Zs.u. 12.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5282,100190,Bacsik Jánosnéné,Bacsik Jánosné,6050,Lajosmizse,Ságvári u. 25.,76-356489,,,,,0,,,,71380003123,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5283,100191,Bácska Gumi Kft,Bácska Gumi Kft,6000,Kecskemét,Izsaki u.6.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5284,100192,Bács-Kiskun M. Illet,Bács-Kiskun M. Illetékhivatal,6000,Kecskemét,Katona József tér 8.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5285,100193,IKR  ZRT.,IKR  ZRT.,2943,Bábolna,IKR -Park,30/569000/1263 Bakon,34/569-070,30/552-00-70,,,0,Kócsáné Erzsi számlázás 30/6311-185 Aranyosi Károly 30/552-00-70,,,10305863211,,,,,0,,,34/569-069,Németh Katalin  folyószla.  34/569-028      nemethk@ikr.hu,Varga Balázs ,0,,Városföld 76/535-530,,,,,2,1,5,2,,,02,01,05,02,Hivatali fax,Hivatali telefon,Rádiótelefon,Hivatali fax,,,,,,,,NRM,Normál,1,V,Viszonteladó,58,,
5286,100194,Nemzeti Közl. Hatósá,Nemzeti Közlekedési Hatóság,1066,Budapest,Teréz körút 62,,,,,,0,,,,15598646242,,,,,0,Dél-Alföldi Regionális Ig.,Bács-Kiskun Megyei Kir.,,,,1,6000,Kecskemét,Szent István krt. 19/A   Pf.: 189,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5287,100195,Bács-Minerál Kft.,Bács-Minerál Kft.,6000,Kecskemét,Szt.István u.2 4,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5288,100196,Hegedûs Péter,Hegedûs Péter,6112,Pálmonostora,Táncsics u.15.,,,,,,0,,,,78685543123,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,T,Termelõ,57,,
5289,100197,Bács-Spárga Kft.,Bács-Spárga Kft.,6078,Jakabszállás,Jókai u.43,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,NRM,Normál,1,Ü,Üzem,59,,
5290,100198,Bács-Tuoring Kft,Bács-Tuoring Kft,6000,Kecskemét,Biharu.8.,,,,,,0,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
